Provider EPG,Consumer EPG,Consumer VRF,Contract,Filter,Hits,TCAM Usage
tn-bell02/BD-ctx1-bd2,ctx1/any,tn-bell02/ctx-ctx1,tn-bell02/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-amb/ap-amb2-AP/epg-amb2_epg1,amb2_epg2,tn-amb/ctx-amb2,tn-amb/brc-con1_201-300,tn-amb/flt-tcp_201-300,0,2
tn-sf17/ap-sf17_ctx01_bd02_ap/epg-sf17_ctx01_bd02_epg01,sf17_ctx01_bd01_epg02,tn-sf17/ctx-sf17_ctx01,tn-sf17/brc-sf17_ctx01_cont1,tn-sf17/flt-fil1,0,2
tn-sf18/BD-sf18_ctx01_bd01,sf18_ctx01/any,tn-sf18/ctx-sf18_ctx01,tn-sf18/ctx-sf18_ctx01,sys/actrl/filt-implicit,0,1
tn-abc03/ctx-abc03_ctx01/any,abc03_ctx01/any,tn-abc03/ctx-abc03_ctx01,tn-abc03/ctx-abc03_ctx01,sys/actrl/filt-implarp,0,2
tn-abc08/BD-abc08_ctx01_bd01,abc08_ctx01/any,tn-abc08/ctx-abc08_ctx01,tn-abc08/ctx-abc08_ctx01,sys/actrl/filt-implicit,0,2
tn-abc07/BD-abc07_ctx01_bd01,abc07_ctx01/any,tn-abc07/ctx-abc07_ctx01,tn-abc07/ctx-abc07_ctx01,sys/actrl/filt-implicit,0,2
tn-bell02/ctx-ctx1/any,ctx1/any,tn-bell02/ctx-ctx1,tn-bell02/ctx-ctx1,sys/actrl/filt-implarp,0,1
tn-corp08/ctx-ctx1/any,ctx1/any,tn-corp08/ctx-ctx1,tn-corp08/ctx-ctx1,sys/actrl/filt-implarp,0,3
tn-sf16/ctx-sf16_ctx02/any,sf16_ctx02/any,tn-sf16/ctx-sf16_ctx02,tn-sf16/ctx-sf16_ctx02,sys/actrl/filt-implarp,0,2
tn-abc02/ctx-abc02_ctx01/any,abc02_ctx01/any,tn-abc02/ctx-abc02_ctx01,tn-abc02/ctx-abc02_ctx01,sys/actrl/filt-implicit,0,4
tn-corp05/ctx-ctx1/any,ctx1/any,tn-corp05/ctx-ctx1,tn-corp05/ctx-ctx1,sys/actrl/filt-implicit,0,6
unknownunknowntenant/ap-UnknownAppProfile/epg-UnknownEpg,UnknownEpg,unknownunknowntenant/ctx-UnknownContext,unknownunknowntenant/brc-UnknownContract,sys/actrl/filt-UnknownFilter,0,1
tn-abc03/BD-abc03_ctx01_bd04,abc03_ctx01/any,tn-abc03/ctx-abc03_ctx01,tn-abc03/ctx-abc03_ctx01,sys/actrl/filt-implicit,0,2
tn-sf18/ap-sf18_ctx01_bd01_ap/epg-sf18_ctx01_bd01_epg02,sf18_ctx01/any,tn-sf18/ctx-sf18_ctx01,tn-sf18/taboo-deny_100_200,tn-sf18/flt-deny_shadow,0,2
tn-sf19/ap-sf19_ctx01_bd02_ap/epg-sf19_ctx01_bd02_epg01,sf19_ctx01_bd02_epg02,tn-sf19/ctx-sf19_ctx01,tn-sf19/brc-sf19_ctx01_cont1,tn-sf19/flt-fil1,0,2
tn-bell04/ap-ctx1-ap1/epg-ctx1-bd1-epg2,ctx1-bd2-epg2,tn-bell04/ctx-ctx1,tn-bell04/brc-cont1,tn-bell04/flt-fil1,0,2
tn-cd22/BD-cd22_ctx01_bd01,cd22_ctx01/any,tn-cd22/ctx-cd22_ctx01,tn-cd22/ctx-cd22_ctx01,sys/actrl/filt-implicit,0,2
tn-sf20/ap-sf20_ctx01_bd01_ap/epg-sf20_ctx01_bd01_epg01,sf20_ctx01_bd02_epg02,tn-sf20/ctx-sf20_ctx01,tn-sf20/brc-sf20_ctx01_cont1,tn-sf20/flt-fil1,0,2
