Provider EPG,Consumer EPG,Consumer VRF,Contract,Filter,Hits,TCAM Usage
tn-bell04/ap-ctx2-ap1/epg-ctx2-bd1-epg1,ctx2-bd2-epg2,tn-bell04/ctx-ctx2,tn-bell04/brc-cont1,tn-bell04/flt-fil1,0,2
tn-amb/ctx-amb1/any,amb1/any,tn-amb/ctx-amb1,tn-amb/ctx-amb1,sys/actrl/filt-implarp,0,1
tn-corp08/BD-ctx1-bd1,ctx1/any,tn-corp08/ctx-ctx1,tn-corp08/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-mgmt/ctx-oob/any,oob/any,tn-mgmt/ctx-oob,tn-mgmt/ctx-oob,sys/actrl/filt-implarp,0,3
tn-corp02/ctx-ctx1/any,ctx1/any,tn-corp02/ctx-ctx1,tn-corp02/ctx-ctx1,sys/actrl/filt-implarp,0,3
tn-sf16/ctx-sf16_ctx01/any,sf16_ctx01/any,tn-sf16/ctx-sf16_ctx01,tn-sf16/ctx-sf16_ctx01,sys/actrl/filt-implarp,0,2
tn-bell04/ap-ctx2-ap1/epg-ctx2-bd1-epg1,ctx2-bd2-epg1,tn-bell04/ctx-ctx2,tn-bell04/brc-cont1,tn-bell04/flt-fil1,0,2
tn-amb/ctx-amb1/any,amb1/any,tn-amb/ctx-amb1,tn-amb/ctx-amb1,sys/actrl/filt-implicit,0,2
tn-bell05/ctx-ctx1/any,ctx1/any,tn-bell05/ctx-ctx1,tn-bell05/ctx-ctx1,sys/actrl/filt-implarp,0,1
tn-corp01/ctx-ctx1/any,ctx1/any,tn-corp01/ctx-ctx1,tn-corp01/ctx-ctx1,sys/actrl/filt-implicit,0,6
tn-corp07/ctx-ctx1/any,ctx1/any,tn-corp07/ctx-ctx1,tn-corp07/ctx-ctx1,sys/actrl/filt-implicit,0,6
tn-corp03/ctx-ctx1/any,ctx1/any,tn-corp03/ctx-ctx1,tn-corp03/ctx-ctx1,sys/actrl/filt-implicit,0,6
tn-abc08/ctx-abc08_ctx01/any,abc08_ctx01/any,tn-abc08/ctx-abc08_ctx01,tn-abc08/ctx-abc08_ctx01,sys/actrl/filt-implicit,0,4
tn-bell05/BD-ctx1-bd2,ctx1/any,tn-bell05/ctx-ctx1,tn-bell05/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-ab21/BD-ab21_ctx01_bd02,ab21_ctx01/any,tn-ab21/ctx-ab21_ctx01,tn-ab21/ctx-ab21_ctx01,sys/actrl/filt-implicit,0,2
tn-kilo/BD-kilo_ctx1_bd3,kilo_ctx1/any,tn-kilo/ctx-kilo_ctx1,tn-kilo/ctx-kilo_ctx1,sys/actrl/filt-implicit,0,1
tn-corp01/ctx-ctx1/any,ctx1/any,tn-corp01/ctx-ctx1,tn-corp01/ctx-ctx1,sys/actrl/filt-implarp,0,3
tn-sj15/BD-sj15_ctx01_bd02,sj15_ctx01/any,tn-sj15/ctx-sj15_ctx01,tn-sj15/ctx-sj15_ctx01,sys/actrl/filt-implicit,0,1
tn-sj14/BD-sj14_ctx01_bd02,sj14_ctx01/any,tn-sj14/ctx-sj14_ctx01,tn-sj14/ctx-sj14_ctx01,sys/actrl/filt-implicit,0,1
tn-corp04/BD-ctx1-bd1,ctx1/any,tn-corp04/ctx-ctx1,tn-corp04/ctx-ctx1,sys/actrl/filt-implicit,0,1
tn-sj13/ctx-sj13_ctx02/any,sj13_ctx02/any,tn-sj13/ctx-sj13_ctx02,tn-sj13/ctx-sj13_ctx02,sys/actrl/filt-implarp,0,2
tn-abc04/BD-abc04_ctx01_bd01,abc04_ctx01/any,tn-abc04/ctx-abc04_ctx01,tn-abc04/ctx-abc04_ctx01,sys/actrl/filt-implicit,0,2
tn-bell04/ctx-ctx2/any,ctx2/any,tn-bell04/ctx-ctx2,tn-bell04/ctx-ctx2,sys/actrl/filt-implicit,0,2
tn-bell04/ap-ctx1-ap1/epg-ctx1-bd1-epg2,ctx1-bd2-epg1,tn-bell04/ctx-ctx1,tn-bell04/brc-cont1,tn-bell04/flt-fil1,0,2
tn-sf18/ap-sf18_ctx01_bd01_ap/epg-sf18_ctx01_bd01_epg01,sf18_ctx01_bd02_epg02,tn-sf18/ctx-sf18_ctx01,tn-sf18/brc-sf18_ctx01_cont1,tn-sf18/flt-fil1,0,2
tn-bell04/ap-ctx1-ap1/epg-ctx1-bd1-epg1,ctx1-bd2-epg2,tn-bell04/ctx-ctx1,tn-bell04/brc-cont1,tn-bell04/flt-fil1,0,2
tn-infra/ctx-overlay-1/any,overlay-1/any,tn-infra/ctx-overlay-1,tn-infra/ctx-overlay-1,sys/actrl/filt-implarp,0,3
tn-abc02/BD-abc02_ctx02_bd02,abc02_ctx02/any,tn-abc02/ctx-abc02_ctx02,tn-abc02/ctx-abc02_ctx02,sys/actrl/filt-implicit,0,2
tn-kilo/ctx-kilo_ctx1/any,kilo_ctx1/any,tn-kilo/ctx-kilo_ctx1,tn-kilo/ctx-kilo_ctx1,sys/actrl/filt-implicit,0,2
tn-abc01/BD-abc01_ctx01_bd02,abc01_ctx01/any,tn-abc01/ctx-abc01_ctx01,tn-abc01/ctx-abc01_ctx01,sys/actrl/filt-implicit,0,2
tn-mgmt/ctx-inb/any,inb/any,tn-mgmt/ctx-inb,tn-mgmt/ctx-inb,sys/actrl/filt-implarp,0,3
tn-common/ctx-dhcpNet1/any,dhcpNet1/any,tn-common/ctx-dhcpNet1,tn-common/ctx-dhcpNet1,sys/actrl/filt-implicit,0,2
tn-bell02/ap-ctx2-ap1/epg-ctx2-bd1-epg1,ctx2-bd2-epg2,tn-bell02/ctx-ctx2,tn-bell02/brc-cont1,tn-bell02/flt-fil1,0,2
tn-ab21/ctx-ab21_ctx01/any,ab21_ctx01/any,tn-ab21/ctx-ab21_ctx01,tn-ab21/ctx-ab21_ctx01,sys/actrl/filt-implicit,0,4
tn-abc02/ctx-abc02_ctx02/any,abc02_ctx02/any,tn-abc02/ctx-abc02_ctx02,tn-abc02/ctx-abc02_ctx02,sys/actrl/filt-implarp,0,2
tn-sf18/BD-sf18_ctx02_bd02,sf18_ctx02/any,tn-sf18/ctx-sf18_ctx02,tn-sf18/ctx-sf18_ctx02,sys/actrl/filt-implicit,0,1
